lat_car1,long_car1,lat_car2,long_car2,x1,y1,x2,y2,lat_object,long_object
-11.6934133,-55.4515703,-11.6934625,-55.4515831,0.9018697738647461,0.5191129446029663,0.9201192855834961,0.6428896188735962,-11.69337934,-55.45150577
-11.6935584,-55.4516085,-11.6936051,-55.4516211,0.5837727189064026,0.4949168860912323,0.6005653142929077,0.5266125202178955,-11.69337934,-55.45150577
-11.6947409,-55.4519133,-11.6948054,-55.4519297,0.698050856590271,0.47046494483947754,0.8253015279769897,0.5593862533569336,-11.69464579,-55.45185024
-11.6954836,-55.4521083,-11.6955319,-55.452121,0.7611145973205566,0.5506376028060913,0.7875158190727234,0.6200331449508667,-11.6954051,-55.45206708
-11.6955319,-55.452121,-11.6955805,-55.4521335,0.6510255336761475,0.5240411758422852,0.6694628000259399,0.5663068294525146,-11.6954051,-55.45206708
-11.6955805,-55.4521335,-11.6956295,-55.4521463,0.6064765453338623,0.5127550363540649,0.6200296878814697,0.5434389114379883,-11.6954051,-55.45206708
-11.6956788,-55.4521589,-11.6957287,-55.4521715,0.655916690826416,0.5617483854293823,0.662794828414917,0.5841625928878784,-11.69553831,-55.4520785
-11.6957287,-55.4521715,-11.6957789,-55.4521842,0.615692138671875,0.5420020818710327,0.6214701533317566,0.559472918510437,-11.69553831,-55.4520785
-11.6966799,-55.4524188,-11.696735,-55.4524329,0.6073458194732666,0.438437819480896,0.645447313785553,0.5206574201583862,-11.69655896,-55.45236268
-11.6982258,-55.4528147,-11.6982851,-55.45283,0.698652446269989,0.5009267330169678,0.7768804430961609,0.5793310403823853,-11.69812644,-55.45275166
-11.6982851,-55.45283,-11.6983442,-55.4528458,0.6083189845085144,0.4939361810684204,0.6595823168754578,0.5389341115951538,-11.69812644,-55.45275166
-11.6987639,-55.4529556,-11.6988247,-55.4529715,0.7086366415023804,0.46832653880119324,0.7772115468978882,0.5859546661376953,-11.69866943,-55.4529142
-11.6988854,-55.4529873,-11.6989462,-55.4530031,0.5762362480163574,0.4841088652610779,0.6030980944633484,0.5271245837211609,-11.69866943,-55.4529142
-11.6991887,-55.4530661,-11.6992492,-55.4530817,0.74444580078125,0.49572300910949707,0.804081916809082,0.599403977394104,-11.69910451,-55.4530274
-11.6992492,-55.4530817,-11.6993096,-55.4530972,0.615985095500946,0.4897327423095703,0.6493972539901733,0.5424950122833252,-11.69910451,-55.4530274
-11.6993096,-55.4530972,-11.6993699,-55.4531127,0.5774343013763428,0.48683977127075195,0.5989431738853455,0.5216102600097656,-11.69910451,-55.4530274
-11.6994903,-55.4531432,-11.6995504,-55.4531585,0.6411457061767578,0.4908822178840637,0.676963210105896,0.554522693157196,-11.69940965,-55.45309868
-11.6995504,-55.4531585,-11.6996104,-55.4531738,0.5850396156311035,0.4860647916793823,0.6072190999984741,0.5246928930282593,-11.69940965,-55.45309868
-11.6996104,-55.4531738,-11.6996702,-55.4531893,0.5614380836486816,0.4848628640174866,0.578951358795166,0.5131887793540955,-11.69940965,-55.45309868
-11.7004986,-55.4534045,-11.7005558,-55.4534201,0.7208245992660522,0.4497007429599762,0.8394114375114441,0.5752450227737427,-11.70041286,-55.45335243
-11.7006133,-55.4534352,-11.7006707,-55.4534509,0.5829479098320007,0.47073787450790405,0.6416308879852295,0.5182502269744873,-11.70041286,-55.45335243
-11.7041572,-55.4543498,-11.7042068,-55.4543628,0.8184237480163574,0.5148502588272095,0.8548007011413574,0.6350036859512329,-11.70408997,-55.4543087
